file,instance_number,pixel_spacing_mm,field_of_view_mm,chirality,n_wires_detected,theta0_deg,wire_indices_detected,per_wire_radial_error_mm,per_wire_azimuth_residual_deg,per_wire_snr
FILE0000,1,0.1200,60.00,+1,4,+77.000,2;3;4;5,+0.055;+0.864;+1.870;+1.646,-2.500;-1.500;+0.000;-1.500,7.85;10.12;6.87;7.42
FILE0001,2,0.1200,60.00,+1,4,+86.000,2;3;4;5,-0.699;+0.613;+2.372;+1.646,-3.000;-4.000;-0.500;+0.000,7.85;9.99;8.24;5.77
FILE0002,3,0.1200,60.00,+1,4,+167.500,2;3;4;5,+0.558;+1.367;+1.618;+1.646,-7.500;-3.500;+0.000;-2.000,9.95;10.06;8.25;8.56
FILE0003,4,0.1200,60.00,+1,4,+181.000,2;3;4;5,+0.055;+0.613;+1.116;+1.394,-2.500;-3.000;+0.000;+0.500,10.17;11.28;9.44;9.33
FILE0004,5,0.1200,60.00,+1,4,+72.000,2;3;4;5,-0.196;+0.864;+1.870;+1.646,-4.000;-2.000;-0.500;+0.000,6.58;8.56;6.87;7.27
FILE0005,6,0.1200,60.00,-1,1,+178.500,2,+0.055,-1.500,17.54
FILE0006,7,0.1200,60.00,+1,3,+69.000,2;3;5,+0.055;+2.121;-1.622,-4.500;+0.000;+44.500,17.28;15.80;11.54
FILE0007,8,0.1200,60.00,+1,4,+299.000,2;3;4;5,+1.815;+1.116;+0.613;-0.617,+1.500;+0.000;+0.500;-3.500,19.46;15.44;11.02;14.16
FILE0008,9,0.1200,60.00,-1,4,+228.500,2;3;4;5,+1.061;-0.644;-1.147;-0.365,-12.500;+20.500;+4.000;-1.500,3.60;8.67;6.26;21.47
FILE0009,10,0.1200,60.00,+1,3,+353.000,2;3;5,+1.312;+2.121;+1.646,-4.000;-1.000;+3.500,17.28;17.28;14.54
FILE0010,11,0.1200,60.00,+1,1,+52.000,2,-0.448,+0.000,3.27
FILE0011,12,0.1200,60.00,+1,2,+320.500,3;4,+0.362;+2.372,-9.000;-1.500,3.42;3.28
FILE0012,13,0.1200,60.00,+1,0,+265.000,,,,
FILE0013,14,0.0700,35.00,+1,2,+272.000,2;3,+0.910;+1.267,-0.500;+0.000,6.83;9.27
FILE0014,15,0.0700,35.00,+1,2,+43.500,2;3,+0.910;+2.028,-7.500;+0.000,6.19;4.26
FILE0015,16,0.0700,35.00,+1,2,+23.500,2;3,-0.358;+2.028,-3.500;+0.000,7.61;7.24
FILE0016,17,0.0800,40.00,+1,2,+141.000,2;3,-0.803;-0.155,+0.000;-3.500,4.63;7.24
FILE0017,18,0.0800,40.00,+1,2,+151.000,2;3,-1.058;-0.666,+2.000;-4.000,12.69;15.93
FILE0018,19,0.0800,40.00,+1,2,+150.500,2;3,-1.058;-0.155,+1.000;-5.000,12.69;17.79
