file,pixel_spacing_mm,apparatus_cx_px,apparatus_cy_px,device_cx_px,device_cy_px,apparatus_off_image_center_x_mm,apparatus_off_image_center_y_mm,apparatus_minus_device_x_mm,apparatus_minus_device_y_mm,wiggle_mm,theta0_deg,chirality,radial_scale,implied_sound_speed_m_per_s,wire_offset,first_visible_wire,n_clicks_used,excluded_user_wire_indices,rms_residual_mm,max_residual_mm,used_design_indices
FILE0000,0.12,250.171,255.670,250.000,250.000,+0.021,-0.680,+0.021,-0.680,0.681,+79.407,+1,1.06501,1640.1,-1,1,5,,0.4456,0.6363,1;2;3;4;5
FILE0001,0.12,256.751,256.413,250.000,250.000,+0.810,-0.770,+0.810,-0.770,1.117,+89.753,+1,1.05236,1620.6,-1,1,5,7,0.7450,1.1601,1;2;3;4;5
FILE0002,0.12,248.838,249.735,250.000,250.000,-0.139,+0.032,-0.139,+0.032,0.143,+167.443,+1,1.05276,1621.3,-1,1,5,,0.1855,0.2445,1;2;3;4;5
FILE0003,0.12,250.716,250.445,250.000,250.000,+0.086,-0.053,+0.086,-0.053,0.101,+182.106,+1,1.05576,1625.9,-1,1,5,,0.1499,0.2297,1;2;3;4;5
FILE0004,0.12,252.394,257.033,250.000,250.000,+0.287,-0.844,+0.287,-0.844,0.892,+74.689,+1,1.06024,1632.8,-1,1,5,,0.4996,0.7916,1;2;3;4;5
FILE0005,0.12,257.959,241.630,250.000,250.000,+0.955,+1.004,+0.955,+1.004,1.386,+97.930,+1,1.05730,1628.2,-1,1,4,,0.2573,0.3475,1;2;3;5
FILE0006,0.12,252.946,254.298,250.000,250.000,+0.353,-0.516,+0.353,-0.516,0.625,+77.984,+1,1.06938,1646.8,-1,1,5,,0.2858,0.4063,1;2;3;4;5
FILE0007,0.12,251.591,256.841,250.000,250.000,+0.191,-0.821,+0.191,-0.821,0.843,+295.303,+1,1.03943,1600.7,-1,1,5,,0.1827,0.3078,1;2;3;4;5
FILE0008,0.12,261.449,259.134,250.000,250.000,+1.374,-1.096,+1.374,-1.096,1.758,+337.666,+1,1.05263,1621.0,-1,1,5,,0.3038,0.4709,1;2;3;4;5
FILE0009,0.12,247.811,261.726,250.000,250.000,-0.263,-1.407,-0.263,-1.407,1.431,+353.528,+1,1.06008,1632.5,-1,1,5,,0.4526,0.6999,1;2;3;4;5
FILE0010,0.12,245.065,258.897,250.000,250.000,-0.592,-1.068,-0.592,-1.068,1.221,+54.020,+1,1.04879,1615.1,-1,1,5,,0.7209,1.2811,1;2;3;4;5
FILE0011,0.12,241.106,259.385,250.000,250.000,-1.067,-1.126,-1.067,-1.126,1.552,+325.376,+1,1.05637,1626.8,-1,1,5,,0.3886,0.6617,1;2;3;4;5
FILE0012,0.12,244.607,259.339,250.000,250.000,-0.647,-1.121,-0.647,-1.121,1.294,+265.614,+1,1.06947,1647.0,-1,1,5,,0.5420,0.6370,1;2;3;4;5
FILE0013,0.07,254.932,253.833,250.000,250.000,+0.345,-0.268,+0.345,-0.268,0.437,+275.471,+1,1.06275,1636.6,-1,1,3,,0.1387,0.1875,1;2;3
FILE0014,0.07,263.775,254.672,250.000,250.000,+0.964,-0.327,+0.964,-0.327,1.018,+46.631,+1,1.08906,1677.2,-1,1,3,,0.1345,0.1818,1;2;3
FILE0015,0.07,269.145,277.718,250.000,250.000,+1.340,-1.940,+1.340,-1.940,2.358,+34.252,+1,1.10125,1695.9,-1,1,3,,0.1937,0.2618,1;2;3
FILE0016,0.08,262.681,250.123,250.000,250.000,+1.014,-0.010,+1.014,-0.010,1.014,+145.837,+1,1.06541,1640.7,-1,1,3,,0.2456,0.3320,1;2;3
FILE0017,0.08,259.260,267.709,250.000,250.000,+0.741,-1.417,+0.741,-1.417,1.599,+150.689,+1,1.09753,1690.2,-1,1,3,,0.2177,0.2944,1;2;3
FILE0018,0.08,257.022,258.721,250.000,250.000,+0.562,-0.698,+0.562,-0.698,0.896,+153.316,+1,1.10117,1695.8,-1,1,3,,0.1853,0.2504,1;2;3
