file,instance_number,rows,cols,pixel_spacing_mm,field_of_view_mm,min_gray,mean_gray,p50_gray,p99_gray,max_gray,saturated_fraction
FILE0000,1,500,500,0.1200,60.00,3,41.09,40,150,239,0.00277
FILE0001,2,500,500,0.1200,60.00,3,42.12,40,153,239,0.00272
FILE0002,3,500,500,0.1200,60.00,3,38.51,36,177,239,0.00244
FILE0003,4,500,500,0.1200,60.00,3,35.61,32,172,239,0.00204
FILE0004,5,500,500,0.1200,60.00,3,42.75,41,142,239,0.00241
FILE0005,6,500,500,0.1200,60.00,3,16.71,11,50,239,0.00152
FILE0006,7,500,500,0.1200,60.00,3,17.92,12,75,239,0.00152
FILE0007,8,500,500,0.1200,60.00,3,17.95,12,68,239,0.00147
FILE0008,9,500,500,0.1200,60.00,3,17.81,12,77,239,0.00166
FILE0009,10,500,500,0.1200,60.00,3,17.98,12,71,239,0.00156
FILE0010,11,500,500,0.1200,60.00,3,96.37,104,217,239,0.00684
FILE0011,12,500,500,0.1200,60.00,3,96.73,104,227,239,0.00779
FILE0012,13,500,500,0.1200,60.00,3,96.48,104,227,239,0.00812
FILE0013,14,500,500,0.0700,35.00,3,42.15,41,172,239,0.00379
FILE0014,15,500,500,0.0700,35.00,3,43.10,40,214,239,0.00351
FILE0015,16,500,500,0.0700,35.00,3,42.03,39,214,239,0.00379
FILE0016,17,500,500,0.0800,40.00,3,43.58,40,205,239,0.00375
FILE0017,18,500,500,0.0800,40.00,3,17.04,11,115,239,0.00194
FILE0018,19,500,500,0.0800,40.00,3,17.18,11,127,239,0.00223
