file,catheter,model,depth_mm,rows,cols,pixel_spacing_mm,comment,gain_slider,priv_1002,diameter_mm,ar_enabled,mode_flag,priv_1008,priv_1009,frame_index,priv_1030,mode_flag_anomaly,theta0_deg,chirality,radial_scale,wire_offset,apparatus_cx_mm_off_image_center,apparatus_cy_mm_off_image_center,apparatus_minus_device_x_mm,apparatus_minus_device_y_mm,apparatus_minus_device_mag_mm,rms_residual_mm,max_residual_mm,n_clicks_used,excluded_user_wire_indices
FILE0000,"Visions PV .035, 88901, 697721",s5,30,500,500,0.120000,F1Live:,54.0,3,60.0,1,0,5,0,1,2,0,+79.407,+1,1.06501,-1,,,+0.021,-0.680,,0.4456,0.6363,5,
FILE0001,"Visions PV .035, 88901, 697721",s5,30,500,500,0.120000,F2Live:,54.0,3,60.0,1,0,5,0,2,2,0,+89.753,+1,1.05236,-1,,,+0.810,-0.770,,0.7450,1.1601,5,7
FILE0002,"Visions PV .035, 88901, 697721",s5,30,500,500,0.120000,F3Live:,54.0,3,60.0,1,0,5,0,3,2,0,+167.443,+1,1.05276,-1,,,-0.139,+0.032,,0.1855,0.2445,5,
FILE0003,"Visions PV .035, 88901, 697721",s5,30,500,500,0.120000,F4Live:,54.0,3,60.0,1,0,5,0,4,2,0,+182.106,+1,1.05576,-1,,,+0.086,-0.053,,0.1499,0.2297,5,
FILE0004,"Visions PV .035, 88901, 697721",s5,30,500,500,0.120000,F5Live:,54.0,3,60.0,1,0,5,0,5,2,0,+74.689,+1,1.06024,-1,,,+0.287,-0.844,,0.4996,0.7916,5,
FILE0005,"Visions PV .035, 88901, 697721",s5,30,500,500,0.120000,F6Live:,44.0,3,60.0,1,0,5,0,6,2,0,+97.930,+1,1.05730,-1,,,+0.955,+1.004,,0.2573,0.3475,4,
FILE0006,"Visions PV .035, 88901, 697721",s5,30,500,500,0.120000,F7Live:,44.0,3,60.0,1,0,5,0,7,2,0,+77.984,+1,1.06938,-1,,,+0.353,-0.516,,0.2858,0.4063,5,
FILE0007,"Visions PV .035, 88901, 697721",s5,30,500,500,0.120000,F8Live:,44.0,3,60.0,1,0,5,0,8,2,0,+295.303,+1,1.03943,-1,,,+0.191,-0.821,,0.1827,0.3078,5,
FILE0008,"Visions PV .035, 88901, 697721",s5,30,500,500,0.120000,F9Live:,44.0,3,60.0,1,0,5,0,9,2,0,+337.666,+1,1.05263,-1,,,+1.374,-1.096,,0.3038,0.4709,5,
FILE0009,"Visions PV .035, 88901, 697721",s5,30,500,500,0.120000,F10Live:,44.0,3,60.0,1,0,5,0,10,2,0,+353.528,+1,1.06008,-1,,,-0.263,-1.407,,0.4526,0.6999,5,
FILE0010,"Visions PV .035, 88901, 697721",s5,30,500,500,0.120000,F11Live:,64.0,3,60.0,1,0,5,0,11,2,0,+54.020,+1,1.04879,-1,,,-0.592,-1.068,,0.7209,1.2811,5,
FILE0011,"Visions PV .035, 88901, 697721",s5,30,500,500,0.120000,F12Live:,64.0,3,60.0,1,0,5,0,12,2,0,+325.376,+1,1.05637,-1,,,-1.067,-1.126,,0.3886,0.6617,5,
FILE0012,"Visions PV .035, 88901, 697721",s5,30,500,500,0.120000,F13Live:,64.0,3,60.0,1,0,5,0,13,2,0,+265.614,+1,1.06947,-1,,,-0.647,-1.121,,0.5420,0.6370,5,
FILE0013,"Visions PV .035, 88901, 697721",s5,17,500,500,0.070000,F14Live:,54.0,3,35.0,1,1,5,0,14,2,1,+275.471,+1,1.06275,-1,,,+0.345,-0.268,,0.1387,0.1875,3,
FILE0014,"Visions PV .035, 88901, 697721",s5,17,500,500,0.070000,F15Live:,54.0,3,35.0,1,0,5,0,15,2,0,+46.631,+1,1.08906,-1,,,+0.964,-0.327,,0.1345,0.1818,3,
FILE0015,"Visions PV .035, 88901, 697721",s5,17,500,500,0.070000,F16Live:,54.0,3,35.0,1,0,5,0,16,2,0,+34.252,+1,1.10125,-1,,,+1.340,-1.940,,0.1937,0.2618,3,
FILE0016,"Visions PV .035, 88901, 697721",s5,20,500,500,0.080000,F17Live:,54.0,3,40.0,1,0,5,0,17,2,0,+145.837,+1,1.06541,-1,,,+1.014,-0.010,,0.2456,0.3320,3,
FILE0017,"Visions PV .035, 88901, 697721",s5,20,500,500,0.080000,F18Live:,44.0,3,40.0,1,0,5,0,18,2,0,+150.689,+1,1.09753,-1,,,+0.741,-1.417,,0.2177,0.2944,3,
FILE0018,"Visions PV .035, 88901, 697721",s5,20,500,500,0.080000,F19Live:,44.0,3,40.0,1,0,5,0,19,2,0,+153.316,+1,1.10117,-1,,,+0.562,-0.698,,0.1853,0.2504,3,
