file,num_theta,num_r,dr_mm,dtheta_rad,depth_mm,gain_slider,diameter_mm,theta0_deg,chirality,radial_scale
FILE0000,1024,250,0.120000,0.00613592,30.000,54.0,60.0,+79.407,1,1.0650
FILE0001,1024,250,0.120000,0.00613592,30.000,54.0,60.0,+89.753,1,1.0524
FILE0002,1024,250,0.120000,0.00613592,30.000,54.0,60.0,+167.443,1,1.0528
FILE0003,1024,250,0.120000,0.00613592,30.000,54.0,60.0,+182.106,1,1.0558
FILE0004,1024,250,0.120000,0.00613592,30.000,54.0,60.0,+74.689,1,1.0602
FILE0005,1024,250,0.120000,0.00613592,30.000,44.0,60.0,+97.930,1,1.0573
FILE0006,1024,250,0.120000,0.00613592,30.000,44.0,60.0,+77.984,1,1.0694
FILE0007,1024,250,0.120000,0.00613592,30.000,44.0,60.0,+295.303,1,1.0394
FILE0008,1024,250,0.120000,0.00613592,30.000,44.0,60.0,+337.666,1,1.0526
FILE0009,1024,250,0.120000,0.00613592,30.000,44.0,60.0,+353.528,1,1.0601
FILE0010,1024,250,0.120000,0.00613592,30.000,64.0,60.0,+54.020,1,1.0488
FILE0011,1024,250,0.120000,0.00613592,30.000,64.0,60.0,+325.376,1,1.0564
FILE0012,1024,250,0.120000,0.00613592,30.000,64.0,60.0,+265.614,1,1.0695
FILE0013,1024,243,0.070000,0.00613592,17.000,54.0,35.0,+275.471,1,1.0628
FILE0014,1024,243,0.070000,0.00613592,17.000,54.0,35.0,+46.631,1,1.0891
FILE0015,1024,243,0.070000,0.00613592,17.000,54.0,35.0,+34.252,1,1.1013
FILE0016,1024,250,0.080000,0.00613592,20.000,54.0,40.0,+145.837,1,1.0654
FILE0017,1024,250,0.080000,0.00613592,20.000,44.0,40.0,+150.689,1,1.0975
FILE0018,1024,250,0.080000,0.00613592,20.000,44.0,40.0,+153.316,1,1.1012
