file,gain_slider,diameter_mm,wire_index,r_pred_mm,r_actual_mm,theta_pred_deg,peak_palette,bg_palette,excess_db,axial_fwhm_mm,lateral_fwhm_arc_mm,border_clipped,multilobed,primary_db_above_secondary
FILE0002,54.0,60.0,4,21.1795,21.12,330.192,228.05,25.72,202.33,0.128,1.2399,0,1,4.53
FILE0003,54.0,60.0,4,21.0143,20.88,330.019,224.08,24.24,199.84,0.1599,1.1982,0,0,6.1
FILE0003,54.0,60.0,5,26.3123,26.04,289.87,233.8,23.77,210.03,0.1601,1.828,0,0,6.75
FILE0004,54.0,60.0,5,26.7373,26.28,288.147,233.18,20.41,212.77,0.1721,2.6856,0,0,8.29
FILE0005,44.0,60.0,1,4.2897,3.84,78.394,233.46,11.48,221.98,0.1708,0.2656,0,1,5.9
FILE0005,44.0,60.0,3,16.5366,16.68,5.776,175.6,11.0,164.6,0.0601,0.282,0,1,0.39
FILE0005,44.0,60.0,4,22.4414,22.92,328.704,37.24,11.0,26.24,0.1975,1.9455,0,1,-9.86
FILE0006,44.0,60.0,1,4.9127,4.68,95.032,234.94,11.23,223.71,0.0952,0.3759,0,0,6.87
FILE0006,44.0,60.0,3,15.5124,15.48,8.628,203.63,11.0,192.63,0.0698,1.2739,0,0,6.67
FILE0006,44.0,60.0,4,21.2497,21.36,328.361,194.65,11.65,183.0,0.0545,0.6292,0,1,5.72
FILE0007,44.0,60.0,1,5.086,4.92,80.679,223.46,11.0,212.46,0.1914,0.2649,0,0,6.06
FILE0007,44.0,60.0,2,10.813,10.56,46.046,232.46,11.0,221.46,0.092,0.5533,0,0,6.47
FILE0007,44.0,60.0,3,16.346,16.2,8.883,234.8,11.0,223.8,0.0941,1.003,0,0,7.86
FILE0007,44.0,60.0,4,21.5927,21.84,330.683,177.3,15.23,162.07,0.0769,0.7722,0,0,6.05
FILE0007,44.0,60.0,5,26.4446,26.28,291.545,202.23,17.27,184.95,0.0876,1.9348,0,0,6.5
FILE0008,44.0,60.0,4,22.7636,23.16,331.052,220.04,11.0,209.04,0.075,1.005,0,0,7.31
FILE0009,44.0,60.0,1,3.874,3.72,91.515,205.77,11.0,194.77,0.1531,0.1584,0,1,5.95
FILE0009,44.0,60.0,4,21.8648,22.44,326.624,223.21,11.0,212.21,0.0884,0.8842,0,1,5.63
