file,gain_slider,diameter_mm,dr_mm,num_r,speckle_floor,peak_palette,peak_depth_mm
FILE0000,54.0,60.0,0.120000,250,46.360,232.248,1.800
FILE0001,54.0,60.0,0.120000,250,47.812,232.536,1.800
FILE0002,54.0,60.0,0.120000,250,42.483,230.346,1.800
FILE0003,54.0,60.0,0.120000,250,38.049,232.394,1.920
FILE0004,54.0,60.0,0.120000,250,48.502,232.328,1.800
FILE0005,44.0,60.0,0.120000,250,14.458,174.847,1.800
FILE0006,44.0,60.0,0.120000,250,15.487,174.901,1.800
FILE0007,44.0,60.0,0.120000,250,15.607,174.794,1.800
FILE0008,44.0,60.0,0.120000,250,15.913,174.932,1.800
FILE0009,44.0,60.0,0.120000,250,15.485,174.770,1.800
FILE0010,64.0,60.0,0.120000,250,119.890,239.000,1.680
FILE0011,64.0,60.0,0.120000,250,119.665,239.000,1.680
FILE0012,64.0,60.0,0.120000,250,119.526,239.000,1.680
FILE0013,54.0,35.0,0.070000,243,47.390,61.634,10.990
FILE0014,54.0,35.0,0.070000,243,45.808,234.686,1.820
FILE0015,54.0,35.0,0.070000,243,45.980,234.681,1.820
FILE0016,54.0,40.0,0.080000,250,46.550,234.587,1.840
FILE0017,44.0,40.0,0.080000,250,13.431,179.208,1.840
FILE0018,44.0,40.0,0.080000,250,13.851,179.119,1.840
